time_local;userid;lat;lon
14.11.2017 6:37;user1;37.2691755;-119.3066075
28.9.2017 22:48;user1;37.2691755;-119.3066075
14.11.2016 0:44;user1;37.2691755;-119.3066075
26.6.2010 6:37;user1;38.398927;-122.8273625
26.6.2010 2:50;user1;38.398927;-122.8273625
25.6.2010 23:02;user1;38.398927;-122.8273625
27.10.2016 1:02;user1;37.7706565;-122.4359785
4.4.2016 20:27;user1;38.2970715;-122.306264
11.12.2017 9:13;user1;37.7706565;-122.4359785
11.12.2017 21:27;user1;37.4972935;-122.2329345
2.11.2016 2:41;user1;37.7706565;-122.4359785
1.2.2017 23:04;user1;37.7706565;-122.4359785
6.11.2015 17:53;user1;37.7706565;-122.4359785
9.9.2017 3:08;user1;37.7706565;-122.4359785
29.5.2017 4:23;user1;37.7706565;-122.4359785
20.12.2017 3:06;user1;37.7706565;-122.4359785
12.12.2013 21:43;user1;37.7706565;-122.4359785
27.10.2016 0:55;user1;37.7706565;-122.4359785
24.2.2012 0:33;user1;37.7706565;-122.4359785
23.2.2012 23:03;user1;37.7706565;-122.4359785
1.9.2017 0:31;user1;37.7706565;-122.4359785
22.8.2017 15:23;user1;37.7706565;-122.4359785
15.3.2018 4:18;user1;37.7706565;-122.4359785
8.6.2019 23:57;user1;36.0609645;-115.1351649
8.6.2019 1:44;user1;36.13641255;-115.1288465
2.6.2019 14:26;user1;6.270882997653;-75.6192130002448
2.6.2019 14:25;user1;6.270882997653;-75.6192130002448
21.5.2019 21:39;user1;6.270882997653;-75.6192130002448
23.3.2019 16:11;user1;4.26228350281215;-74.2436709985792
23.3.2019 15:48;user1;4.26228350281215;-74.2436709985792
21.12.2018 3:23;user1;37.7706565;-122.4359785
13.12.2018 5:57;user1;37.7706565;-122.4359785
28.11.2018 16:28;user1;37.7706565;-122.4359785
16.11.2018 20:40;user1;37.7706565;-122.4359785
15.3.2018 4:55;user1;37.7706565;-122.4359785
14.11.2018 4:46;user1;36.0609645;-115.1351649
14.11.2018 4:45;user1;36.0609645;-115.1351649
13.11.2018 16:57;user1;36.0609645;-115.1351649
12.11.2018 22:38;user1;36.0609645;-115.1351649
11.10.2018 23:49;user1;37.7706565;-122.4359785
4.10.2018 5:32;user1;37.7706565;-122.4359785
9.9.2018 3:11;user1;40.780709;-73.9685415
3.8.2018 17:31;user1;37.7706565;-122.4359785
8.7.2018 2:28;user1;37.7706565;-122.4359785
4.7.2018 16:56;user1;37.7706565;-122.4359785
6.6.2018 16:14;user1;37.4972935;-122.2329345
5.6.2018 18:24;user1;37.4972935;-122.2329345
15.3.2018 4:18;user1;37.7706565;-122.4359785
13.4.2018 14:51;user1;37.7706565;-122.4359785
11.4.2018 18:49;user1;37.4972935;-122.2329345
31.3.2018 2:29;user1;35.6310385;-120.67429
30.3.2018 15:29;user1;35.6310385;-120.67429
28.3.2018 5:09;user1;37.7706565;-122.4359785
26.3.2018 6:09;user1;37.7706565;-122.4359785
18.3.2018 19:32;user1;37.7706565;-122.4359785
26.2.2018 21:47;user1;38.5617218;-121.469664
16.2.2018 18:32;user1;38.5617218;-121.469664
13.2.2018 16:12;user1;37.68653;-122.41849805
3.2.2018 17:28;user1;37.7706565;-122.4359785
3.2.2018 2:02;user1;37.7706565;-122.4359785
2.2.2018 16:01;user1;37.7706565;-122.4359785
